127.0.0.1 - - [14/Apr/2016:21:22:01 -0430] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:22:03 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:22:03 -0430] "GET /Aplicacion01HTML/js/validacion.js HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:22:03 -0430] "GET /Aplicacion01HTML/css/formato.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:22:39 -0430] "GET /Aplicacion01HTML/FormularioInsertarLibro.jsp HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:22:39 -0430] "GET /Aplicacion01HTML/css/formato.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:22:39 -0430] "GET /Aplicacion01HTML/js/validacion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:22:39 -0430] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:22:52 -0430] "GET /Aplicacion01HTML/InsertarLibro.jsp?isbn=90j&titulo=C%23&categoria=Web HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:21:22:52 -0430] "GET /Aplicacion01HTML/MostrarLibros.jsp HTTP/1.1" 200 869
